family,n,theory_D_kappa,theory_fusion_cheaper,CPU_hat_ms,CPU_comp_ms,CPU_relative_hat_vs_comp,IQR_hat_ms,IQR_comp_ms,CPU_clear_2IQR,work_hat,work_comp,work_difference,work_relative_hat_vs_comp
G1,40,7480.0,0,0.2426,0.1544,0.5712435233160622,0.014199999999999966,0.004899999999999983,1,85720.0,78240.0,7480.0,0.09560327198364016
G1,55,-990.0,1,0.27080000000000004,0.18480000000000002,0.46536796536796543,0.012299999999999974,0.012850000000000014,1,176990.0,177980.0,-990.0,-0.005562422744128548
G1,100,-153300.0,1,0.38100000000000006,0.29800000000000004,0.2785234899328859,0.042849999999999985,0.04455000000000003,0,734300.0,887600.0,-153300.0,-0.17271293375394325
G1,200,-1946600.0,1,1.6999,2.0788,-0.18226861650952475,0.15250000000000008,0.24680000000000013,0,4268600.0,6215200.0,-1946600.0,-0.3131998970266443
G5,40,7480.0,0,0.26420000000000005,0.1761,0.5002839295854629,0.005399999999999969,0.006350000000000019,1,91736.0,84256.0,7480.0,0.08877706038739075
G5,55,-990.0,1,0.2942,0.2066,0.42400774443368827,0.008900000000000054,0.009200000000000007,1,185262.0,186252.0,-990.0,-0.005315379163713718
G5,100,-153300.0,1,0.3994,0.31400000000000006,0.27197452229299346,0.017099999999999983,0.012549999999999954,1,749340.0,902640.0,-153300.0,-0.1698351502260037
G5,200,-1946600.0,1,1.6544,2.0483000000000002,-0.1923058145779427,0.1847000000000001,0.2920500000000001,0,4298680.0,6245280.0,-1946600.0,-0.3116913893372275
