system,delta,N_P_star_asymptotic,m_S_star_asymptotic,best_P_by_CPU,best_P_CPU_ms,best_P_cycles,best_S_by_CPU,best_S_CPU_ms,best_S_cycles,best_P_by_work,best_P_work,best_S_by_work,best_S_work
H1,0.1,3,3,5,0.1188,1,5,0.12010000000000001,1,5,12920.0,5,12920.0
H1,0.3,3,3,2,0.1429,2,2,0.136,2,2,15160.0,2,14760.0
H1,0.6,3,3,2,0.1381,2,2,0.1293,2,2,15160.0,2,14760.0
H5,0.0999999999999992,9,10,4,1.0737999999999999,1,4,1.0549,1,4,3541200.0,4,3541200.0
H5,0.3000000000000004,9,10,5,0.9886,1,5,0.9992,1,5,3707400.0,5,3707400.0
H5,0.5999999999999995,9,10,6,1.0562,1,6,1.0743,1,6,3873600.0,6,3873600.0
