system,n,delta,tol,method,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,matvec_entries,vector_scale_entries,time_median_s,time_iqr_s,time_min_s,work_total_k1p0,work_total_k1p298,work_total_k1p7,work_total_k3p23511
H5,200,0.3000000000000004,1e-12,M6,1,1,7.823712645223292e-14,1.9655421045127775e-14,4,2,1,5,80000,400,0.0011164,8.035000000000008e-05,0.0009863,3619000.0,3625347.4000000004,3633910.0,3666607.843
H1,20,0.6,1e-08,P5,2,1,0.0,0.0,11,2,2,11,0,0,0.0002507,1.0750000000000016e-05,0.0002419,25000.0,25178.799999999996,25420.0,26341.066000000003
H1,20,0.6,1e-08,M6,2,1,0.0,0.0,7,4,2,10,1600,80,0.0002369,1.7349999999999988e-05,0.000229,22960.0,23132.839999999997,23366.0,24256.363800000003
H2,50,0.6,1e-08,P5,1,1,1.211423547833166e-11,3.0720276171716294e-12,6,1,1,5,0,0,0.0001753,1.029999999999998e-05,0.0001695,114650.0,115089.55,115682.5,117946.78725
H2,50,0.6,1e-08,M6,1,1,1.895585172142797e-11,4.808020491214504e-12,4,2,1,5,5000,100,0.0001729,5.100000000000016e-06,0.0001697,108250.0,108689.55,109282.5,111546.78725
H3,100,0.5999999999999996,1e-08,P5,1,1,2.2350017966583235e-12,5.615001229256307e-13,6,1,1,5,0,0,0.000244,2.775000000000005e-05,0.0002322,592500.0,594153.8999999999,596385.0,604904.8605000001
H3,100,0.5999999999999996,1e-08,M6,1,1,3.301174868462992e-12,8.444489205303298e-13,4,2,1,5,20000,200,0.0002536,2.6549999999999968e-05,0.0002407,569900.0,571583.7,573855.0,582528.3715
H4,150,0.6000000000000001,1e-08,P5,1,1,2.441556898355024e-11,6.088452274612748e-12,6,1,1,5,0,0,0.0005596,5.220000000000008e-05,0.0005138,1716850.0,1720448.3499999999,1725302.5,1743838.9532500003
H4,150,0.6000000000000001,1e-08,M6,1,1,2.7219182260026216e-11,6.772896994742113e-12,4,2,1,5,45000,300,0.0005726,5.649999999999991e-05,0.0005333,1665550.0,1669193.0499999998,1674107.5,1692874.2197500002
H5,200,0.5999999999999995,1e-08,P5,1,1,2.7736841427900417e-12,7.145663413218318e-13,6,1,1,5,0,0,0.0010941,8.109999999999997e-05,0.0010067,3707400.0,3713687.8000000003,3722170.0,3754560.8209999995
H5,200,0.5999999999999995,1e-08,M6,1,1,4.1239875423241556e-12,1.0373756287627502e-12,4,2,1,5,80000,400,0.0011413,0.0001529499999999,0.0010304,3619000.0,3625347.4000000004,3633910.0,3666607.843
H1,20,0.6,1e-10,P5,2,1,0.0,0.0,11,2,2,11,0,0,0.0002568,1.3549999999999975e-05,0.0002455,25000.0,25178.799999999996,25420.0,26341.066000000003
H1,20,0.6,1e-10,M6,2,1,0.0,0.0,7,4,2,10,1600,80,0.0002414,1.0749999999999965e-05,0.0002338,22960.0,23132.839999999997,23366.0,24256.363800000003
H2,50,0.6,1e-10,P5,1,1,1.211423547833166e-11,3.0720276171716294e-12,6,1,1,5,0,0,0.0001749,1.5699999999999975e-05,0.0001707,114650.0,115089.55,115682.5,117946.78725
H2,50,0.6,1e-10,M6,1,1,1.895585172142797e-11,4.808020491214504e-12,4,2,1,5,5000,100,0.0001746,2.11e-05,0.0001702,108250.0,108689.55,109282.5,111546.78725
H3,100,0.5999999999999996,1e-10,P5,1,1,2.2350017966583235e-12,5.615001229256307e-13,6,1,1,5,0,0,0.0002427,1.814999999999998e-05,0.0002366,592500.0,594153.8999999999,596385.0,604904.8605000001
H3,100,0.5999999999999996,1e-10,M6,1,1,3.301174868462992e-12,8.444489205303298e-13,4,2,1,5,20000,200,0.0002574,1.78e-05,0.0002448,569900.0,571583.7,573855.0,582528.3715
H4,150,0.6000000000000001,1e-10,P5,1,1,2.441556898355024e-11,6.088452274612748e-12,6,1,1,5,0,0,0.0005497,4.46e-05,0.000521,1716850.0,1720448.3499999999,1725302.5,1743838.9532500003
H4,150,0.6000000000000001,1e-10,M6,1,1,2.7219182260026216e-11,6.772896994742113e-12,4,2,1,5,45000,300,0.0005782,9.119999999999994e-05,0.0005283,1665550.0,1669193.0499999998,1674107.5,1692874.2197500002
H5,200,0.5999999999999995,1e-10,P5,1,1,2.7736841427900417e-12,7.145663413218318e-13,6,1,1,5,0,0,0.0010846,9.675000000000003e-05,0.0009859,3707400.0,3713687.8000000003,3722170.0,3754560.8209999995
H5,200,0.5999999999999995,1e-10,M6,1,1,4.1239875423241556e-12,1.0373756287627502e-12,4,2,1,5,80000,400,0.0011178,0.00010785,0.0010386,3619000.0,3625347.4000000004,3633910.0,3666607.843
H1,20,0.6,1e-12,P5,2,1,0.0,0.0,11,2,2,11,0,0,0.0002495,1.5099999999999988e-05,0.0002444,25000.0,25178.799999999996,25420.0,26341.066000000003
H1,20,0.6,1e-12,M6,2,1,0.0,0.0,7,4,2,10,1600,80,0.0002423,1.2400000000000003e-05,0.0002296,22960.0,23132.839999999997,23366.0,24256.363800000003
H2,50,0.6,1e-12,P5,2,1,0.0,0.0,11,2,2,11,0,0,0.0003514,2.625000000000001e-05,0.0003331,222800.0,223694.0,224900.0,229505.33
H2,50,0.6,1e-12,M6,2,1,0.0,0.0,7,4,2,10,10000,200,0.0003362,1.8550000000000044e-05,0.000322,207500.0,208379.1,209565.0,214093.5745
H3,100,0.5999999999999996,1e-12,P5,2,1,0.0,0.0,11,2,2,11,0,0,0.0004778,1.3199999999999996e-05,0.0004672,1163500.0,1166837.5999999999,1171340.0,1188533.232
H3,100,0.5999999999999996,1e-12,M6,2,1,0.0,0.0,7,4,2,10,40000,400,0.0004909,2.7549999999999992e-05,0.0004699,1108300.0,1111667.4,1116210.0,1133556.743
H4,150,0.6000000000000001,1e-12,P5,2,1,0.0,0.0,11,2,2,11,0,0,0.0011382,0.0001175499999999,0.001045,3384200.0,3391441.4,3401210.0,3438513.1730000004
H4,150,0.6000000000000001,1e-12,M6,2,1,0.0,0.0,7,4,2,10,90000,600,0.0011402,0.0001063999999999,0.0010441,3259100.0,3266386.0999999996,3276215.0,3313748.4395000003
H5,200,0.5999999999999995,1e-12,P5,2,1,0.0,0.0,11,2,2,11,0,0,0.0020588,0.0001304999999999,0.0019542,7328600.0,7341235.2,7358280.0,7423368.663999999
H5,200,0.5999999999999995,1e-12,M6,2,1,0.0,0.0,7,4,2,10,160000,800,0.0021217,0.0002128499999999,0.0019741,7111800.0,7124494.800000001,7141620.0,7207015.686
