kappa,mu0,mu1,cost_P5,cost_M6,eta_P5,eta_M6,adv_eta_P5_pct,cost_P7,cost_M8,eta_P7,eta_M8,adv_eta_P7_pct
1.0,11.0,1.125,1064.0,1040.0,0.0017879141459289788,0.0017228456434885144,3.776803957243091,1368.0,1096.0,0.001587401347980271,0.0018973006767151787,-16.333696210525815
1.2,11.0,1.125,1079.2,1053.6,0.0017627322565496972,0.0017006069373842589,3.6531262927219865,1386.4,1113.6,0.0015663337017000941,0.0018673146028015768,-16.118382015002386
1.298,11.0,1.125,1086.6480000000001,1060.2640000000001,0.0017506503037491745,0.0016899182366165925,3.593787309744312,1395.4160000000002,1122.224,0.0015562133758227012,0.0018529647750180319,-16.014950915213323
1.7,11.0,1.125,1117.2,1087.6,0.0017027753770752177,0.0016474434251821028,3.3586556629098707,1432.4,1157.6,0.0015160325635555783,0.0017963385812714546,-15.604297577212566
3.23511,11.0,1.125,1233.86836,1191.98748,0.0015417695379338792,0.001503169705463731,2.5678958490079618,1573.63012,1292.68968,0.0013799717077333335,0.001608616185192904,-14.213737221110422
4.45444,11.0,1.125,1326.53744,1274.90192,0.0014340648020220472,0.0014054096563193307,2.0389176617558125,1685.8084800000001,1399.99072,0.0012881445726486145,0.0014853252324985666,-13.27525147595191
