system,delta,tol,cycles_P5,cycles_M6,CPU_P5_ms,CPU_M6_ms,CPU_relative_P5_vs_M6,IQR_P5_ms,IQR_M6_ms,CPU_difference_clear_2IQR,work_P5,work_M6,work_relative_P5_vs_M6,residual_P5,residual_M6
H1,0.1,1e-12,1,1,0.1258,0.1252,0.004792332268370503,0.0063999999999999925,0.00750000000000002,0,12920.0,12100.0,0.06776859504132227,7.40450997286216e-13,9.557787253587376e-13
H1,0.1,1e-10,1,1,0.12760000000000002,0.12589999999999998,0.013502779984114532,0.010649999999999988,0.011300000000000004,0,12920.0,12100.0,0.06776859504132227,7.40450997286216e-13,9.557787253587376e-13
H1,0.1,1e-08,1,1,0.1262,0.1249,0.01040832666132907,0.0061999999999999885,0.012550000000000009,0,12920.0,12100.0,0.06776859504132227,7.40450997286216e-13,9.557787253587376e-13
H1,0.3,1e-12,2,2,0.2478,0.2428,0.020593080724876422,0.010700000000000043,0.017500000000000047,0,25000.0,22960.0,0.08885017421602792,0.0,0.0
H1,0.3,1e-10,2,2,0.2519,0.2356,0.06918505942275033,0.010899999999999993,0.01824999999999998,0,25000.0,22960.0,0.08885017421602792,0.0,0.0
H1,0.3,1e-08,1,1,0.126,0.125,0.008000000000000007,0.00485000000000001,0.00809999999999998,0,12920.0,12100.0,0.06776859504132227,5.39446125025574e-10,7.059624980424905e-10
H1,0.6,1e-12,2,2,0.2495,0.24230000000000002,0.029715229054890546,0.015099999999999988,0.012400000000000003,0,25000.0,22960.0,0.08885017421602792,0.0,0.0
H1,0.6,1e-10,2,2,0.25680000000000003,0.2414,0.06379453189726592,0.013549999999999975,0.010749999999999964,0,25000.0,22960.0,0.08885017421602792,0.0,0.0
H1,0.6,1e-08,2,2,0.25070000000000003,0.2369,0.058252427184465994,0.010750000000000016,0.017349999999999987,0,25000.0,22960.0,0.08885017421602792,0.0,0.0
H2,0.1000000000000002,1e-12,1,1,0.1752,0.1747,0.0028620492272468656,0.010400000000000008,0.012350000000000002,0,114650.0,108250.0,0.05912240184757511,0.0,3.496750111603816e-15
H2,0.1000000000000002,1e-10,1,1,0.17340000000000003,0.17149999999999999,0.011078717201166377,0.013749999999999981,0.013249999999999996,0,114650.0,108250.0,0.05912240184757511,0.0,3.496750111603816e-15
H2,0.1000000000000002,1e-08,1,1,0.1706,0.1729,-0.01330248698669756,0.012950000000000017,0.011699999999999986,0,114650.0,108250.0,0.05912240184757511,0.0,3.496750111603816e-15
H2,0.3,1e-12,1,1,0.17300000000000001,0.1731,-0.0005777007510110455,0.013600000000000032,0.014099999999999991,0,114650.0,108250.0,0.05912240184757511,1.862956419719287e-13,2.9432729935797256e-13
H2,0.3,1e-10,1,1,0.1743,0.1744,-0.0005733944954128267,0.011600000000000013,0.013600000000000004,0,114650.0,108250.0,0.05912240184757511,1.862956419719287e-13,2.9432729935797256e-13
H2,0.3,1e-08,1,1,0.1776,0.1787,-0.00615556799104644,0.019699999999999992,0.022800000000000008,0,114650.0,108250.0,0.05912240184757511,1.862956419719287e-13,2.9432729935797256e-13
H2,0.6,1e-12,2,2,0.3514,0.3362,0.04521118381915534,0.026250000000000013,0.018550000000000046,0,222800.0,207500.0,0.07373493975903611,0.0,0.0
H2,0.6,1e-10,1,1,0.1749,0.17459999999999998,0.0017182130584192379,0.015699999999999974,0.0211,0,114650.0,108250.0,0.05912240184757511,1.211423547833166e-11,1.895585172142797e-11
H2,0.6,1e-08,1,1,0.1753,0.1729,0.013880855986119212,0.01029999999999998,0.005100000000000016,0,114650.0,108250.0,0.05912240184757511,1.211423547833166e-11,1.895585172142797e-11
H3,0.1000000000000004,1e-12,1,1,0.24420000000000003,0.25060000000000004,-0.025538707102952918,0.03885000000000002,0.030999999999999993,0,592500.0,569900.0,0.03965608001403753,0.0,3.72014413826016e-15
H3,0.1000000000000004,1e-10,1,1,0.2512,0.2512,0.0,0.022850000000000013,0.018749999999999996,0,592500.0,569900.0,0.03965608001403753,0.0,3.72014413826016e-15
H3,0.1000000000000004,1e-08,1,1,0.23550000000000001,0.2471,-0.046944556859570996,0.018599999999999964,0.014450000000000001,0,592500.0,569900.0,0.03965608001403753,0.0,3.72014413826016e-15
H3,0.3000000000000004,1e-12,1,1,0.2411,0.2499,-0.035214085634253656,0.012650000000000008,0.02069999999999996,0,592500.0,569900.0,0.03965608001403753,3.486971207970903e-14,5.161159269334417e-14
H3,0.3000000000000004,1e-10,1,1,0.2457,0.2519,-0.024612941643509245,0.027399999999999987,0.018200000000000008,0,592500.0,569900.0,0.03965608001403753,3.486971207970903e-14,5.161159269334417e-14
H3,0.3000000000000004,1e-08,1,1,0.2414,0.2522,-0.04282315622521804,0.009399999999999955,0.007800000000000027,0,592500.0,569900.0,0.03965608001403753,3.486971207970903e-14,5.161159269334417e-14
H3,0.5999999999999996,1e-12,2,2,0.4778,0.49089999999999995,-0.026685679364432557,0.013199999999999996,0.02754999999999999,0,1163500.0,1108300.0,0.049806009203284374,0.0,0.0
H3,0.5999999999999996,1e-10,1,1,0.2427,0.2574,-0.05710955710955723,0.01814999999999998,0.0178,0,592500.0,569900.0,0.03965608001403753,2.2350017966583235e-12,3.301174868462992e-12
H3,0.5999999999999996,1e-08,1,1,0.244,0.2536,-0.03785488958990535,0.027750000000000052,0.02654999999999997,0,592500.0,569900.0,0.03965608001403753,2.2350017966583235e-12,3.301174868462992e-12
H4,0.0999999999999998,1e-12,1,1,0.5495,0.5704,-0.03664095371669007,0.030100000000000026,0.06990000000000002,0,1716850.0,1665550.0,0.030800636426405736,5.5102214927216124e-17,9.11760061461197e-15
H4,0.0999999999999998,1e-10,1,1,0.5708,0.5717,-0.001574252230190587,0.06545,0.07519999999999988,0,1716850.0,1665550.0,0.030800636426405736,5.5102214927216124e-17,9.11760061461197e-15
H4,0.0999999999999998,1e-08,1,1,0.5397000000000001,0.5633,-0.041895970175749864,0.04110000000000008,0.06180000000000009,0,1716850.0,1665550.0,0.030800636426405736,5.5102214927216124e-17,9.11760061461197e-15
H4,0.3000000000000001,1e-12,1,1,0.5505,0.5772,-0.04625779625779636,0.03555000000000008,0.05515000000000001,0,1716850.0,1665550.0,0.030800636426405736,3.879787178219992e-13,4.404020723465655e-13
H4,0.3000000000000001,1e-10,1,1,0.5765,0.6116,-0.05739045127534348,0.06405000000000007,0.11115,0,1716850.0,1665550.0,0.030800636426405736,3.879787178219992e-13,4.404020723465655e-13
H4,0.3000000000000001,1e-08,1,1,0.5759,0.6074999999999999,-0.05201646090534984,0.1021999999999,0.09180000000000006,0,1716850.0,1665550.0,0.030800636426405736,3.879787178219992e-13,4.404020723465655e-13
H4,0.6000000000000001,1e-12,2,2,1.1382,1.1402,-0.0017540782318892223,0.1175499999999,0.10639999999989999,0,3384200.0,3259100.0,0.03838483016783778,0.0,0.0
H4,0.6000000000000001,1e-10,1,1,0.5497,0.5781999999999999,-0.04929090280179871,0.0446,0.09119999999999993,0,1716850.0,1665550.0,0.030800636426405736,2.441556898355024e-11,2.7219182260026216e-11
H4,0.6000000000000001,1e-08,1,1,0.5596000000000001,0.5726,-0.02270345791128181,0.05220000000000008,0.05649999999999991,0,1716850.0,1665550.0,0.030800636426405736,2.441556898355024e-11,2.7219182260026216e-11
H5,0.0999999999999992,1e-12,1,1,1.0378,1.0820999999999998,-0.0409389150725441,0.08434999999999997,0.1271999999999,0,3707400.0,3619000.0,0.024426637192594747,0.0,1.801529696042477e-15
H5,0.0999999999999992,1e-10,1,1,1.0166000000000002,1.0395,-0.022029822029821955,0.07860000000000007,0.1627,0,3707400.0,3619000.0,0.024426637192594747,0.0,1.801529696042477e-15
H5,0.0999999999999992,1e-08,1,1,1.0231999999999999,1.0579,-0.03280083183665761,0.06765000000000027,0.06619999999999998,0,3707400.0,3619000.0,0.024426637192594747,0.0,1.801529696042477e-15
H5,0.3000000000000004,1e-12,1,1,1.0759999999999998,1.1164,-0.03618774632748134,0.07419999999999996,0.08035000000000009,0,3707400.0,3619000.0,0.024426637192594747,4.5343403831095646e-14,7.823712645223292e-14
H5,0.3000000000000004,1e-10,1,1,1.0621999999999998,1.1056,-0.039254703328509444,0.1287,0.13839999999990002,0,3707400.0,3619000.0,0.024426637192594747,4.5343403831095646e-14,7.823712645223292e-14
H5,0.3000000000000004,1e-08,1,1,1.0745,1.1128,-0.034417685118619756,0.1299999999999,0.0807500000000001,0,3707400.0,3619000.0,0.024426637192594747,4.5343403831095646e-14,7.823712645223292e-14
H5,0.5999999999999995,1e-12,2,2,2.0587999999999997,2.1216999999999997,-0.029646038553989618,0.1304999999999,0.2128499999999,0,7328600.0,7111800.0,0.030484546809527835,0.0,0.0
H5,0.5999999999999995,1e-10,1,1,1.0846,1.1178,-0.029701198783324334,0.09675000000000003,0.10785,0,3707400.0,3619000.0,0.024426637192594747,2.7736841427900417e-12,4.1239875423241556e-12
H5,0.5999999999999995,1e-08,1,1,1.0941,1.1413,-0.041356348024182976,0.08109999999999996,0.1529499999999,0,3707400.0,3619000.0,0.024426637192594747,2.7736841427900417e-12,4.1239875423241556e-12
