family,n,delta,tol,method,macrocycles,converged,residual,error,F_total_including_terminal,J,LU,solves,matvecs,time_median_s,time_iqr_s,time_min_s,work_k1p0,work_k1p298,work_k1p7,work_k3p23511
G1,55,0.30000000000000016,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0002033,1.0499999999999984e-05,0.0001979,184140.0,185107.01,186411.5,191392.93195
G1,55,0.30000000000000016,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00025120000000000003,8.699999999999995e-06,0.0002436,165000.0,165622.82,166463.0,169671.3799
G1,55,0.30000000000000016,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00020240000000000001,6.950000000000033e-06,0.0001942,184140.0,185107.01,186411.5,191392.93195
G1,55,0.6000000000000001,1e-08,hatP2,1,1,1.2046555947547255e-16,3.1031676915590914e-17,5,2,1,11,6,0.0002522,1.654999999999994e-05,0.0002463,165000.0,165622.82,166463.0,169671.3799
G1,55,0.6000000000000001,1e-08,P2oP2,1,1,5.679412666893312e-17,1.3877787807814457e-17,5,2,2,5,0,0.00020800000000000001,1.1350000000000005e-05,0.0001975,184140.0,185107.01,186411.5,191392.93195
G1,55,0.6000000000000001,1e-10,hatP2,1,1,1.2046555947547255e-16,3.1031676915590914e-17,5,2,1,11,6,0.0002552,1.6350000000000045e-05,0.0002449,165000.0,165622.82,166463.0,169671.3799
G1,55,0.6000000000000001,1e-10,P2oP2,1,1,5.679412666893312e-17,1.3877787807814457e-17,5,2,2,5,0,0.00020270000000000002,1.3850000000000011e-05,0.00019720000000000002,184140.0,185107.01,186411.5,191392.93195
G1,55,0.6000000000000001,1e-12,hatP2,1,1,1.2046555947547255e-16,3.1031676915590914e-17,5,2,1,11,6,0.0002539,1.2849999999999906e-05,0.000246,165000.0,165622.82,166463.0,169671.3799
G1,55,0.6000000000000001,1e-12,P2oP2,1,1,5.679412666893312e-17,1.3877787807814457e-17,5,2,2,5,0,0.00020280000000000002,1.5000000000000012e-05,0.00019710000000000002,184140.0,185107.01,186411.5,191392.93195
G1,100,0.10000000000000042,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0003546,2.7349999999999987e-05,0.0003322,694500.0,696302.8999999999,698735.0,708022.4155000001
