system,n,delta,family,index,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,time_median_s,time_iqr_s,time_min_s,work_total_k1p0,work_total_k1p298,work_total_k1p7,work_total_k3p23511
H5,200,0.0999999999999992,P,19,1,1,0.0,0.0,20,1,1,19,0.0017832,0.00017785,0.0015826,6034200.0,6041322.200000001,6050930.0,6087619.128999999
H5,200,0.0999999999999992,P,20,1,1,0.0,0.0,21,1,1,20,0.001814,0.0002218,0.0016498,6200400.0,6207581.800000001,6217270.0,6254266.150999999
H5,200,0.0999999999999992,S,1,3,1,0.0,0.0,4,3,3,3,0.0025703,0.0002482,0.0023108,8875400.0,8893548.200000001,8918030.0,9011518.199
H5,200,0.0999999999999992,S,2,2,1,0.0,0.0,5,2,2,4,0.0018424,0.0002898499999999,0.0016953,6291400.0,6303618.000000001,6320100.0,6383039.51
H5,200,0.0999999999999992,S,3,2,1,0.0,0.0,7,2,2,6,0.0020111,0.00022465,0.001794,6623800.0,6636137.2,6652780.0,6716333.554
H5,200,0.0999999999999992,S,4,1,1,8.042218859397987e-14,2.0546893234996993e-14,5,1,1,4,0.0010549,0.0001281499999999,0.0009454,3541200.0,3547428.2,3555830.0,3587913.7989999996
H5,200,0.0999999999999992,S,5,1,1,0.0,0.0,6,1,1,5,0.0010808,0.0001378999999999,0.0009857,3707400.0,3713687.8000000003,3722170.0,3754560.8209999995
H5,200,0.0999999999999992,S,6,1,1,0.0,0.0,7,1,1,6,0.0011603,0.00011695,0.0010298,3873600.0,3879947.4000000004,3888510.0,3921207.8429999994
H5,200,0.0999999999999992,S,7,1,1,0.0,0.0,8,1,1,7,0.0011744,0.0001003499999999,0.0010815,4039800.0,4046207.0000000005,4054850.0,4087854.8649999998
H5,200,0.0999999999999992,S,8,1,1,0.0,0.0,9,1,1,8,0.0012478,0.0001202499999999,0.0010787,4206000.0,4212466.600000001,4221190.0,4254501.887
H5,200,0.0999999999999992,S,9,1,1,0.0,0.0,10,1,1,9,0.0013144,0.0001520499999999,0.0011759,4372200.0,4378726.2,4387530.0,4421148.909
H5,200,0.0999999999999992,S,10,1,1,0.0,0.0,11,1,1,10,0.0013428,0.0001690999999999,0.0011817,4538400.0,4544985.800000001,4553870.0,4587795.931
H5,200,0.0999999999999992,S,11,1,1,0.0,0.0,12,1,1,11,0.0013817,0.0002106,0.0012602,4704600.0,4711245.4,4720210.0,4754442.952999999
H5,200,0.0999999999999992,S,12,1,1,0.0,0.0,13,1,1,12,0.0014152,0.00018125,0.001269,4870800.0,4877505.000000001,4886550.0,4921089.975
H5,200,0.0999999999999992,S,13,1,1,0.0,0.0,14,1,1,13,0.001479,0.00019725,0.0013285,5037000.0,5043764.600000001,5052890.0,5087736.9969999995
H5,200,0.0999999999999992,S,14,1,1,0.0,0.0,15,1,1,14,0.0015233,0.00012895,0.0013914,5203200.0,5210024.200000001,5219230.0,5254384.018999999
H5,200,0.0999999999999992,S,15,1,1,0.0,0.0,16,1,1,15,0.0015719,0.0001406499999999,0.0014368,5369400.0,5376283.800000001,5385570.0,5421031.040999999
