system,n,kappa,rho_P7_ref,order_M8,C_P7,C_M8,eta_P7,eta_M8,relative_eta_P7_vs_M8
H1,20,1.0,8.772001872658766,8.0,15360.0,12760.0,0.0001413779325544929,0.00016296563806268306,-0.13246783656249472
H2,50,1.0,8.772001872658766,8.0,131150.0,136000.0,1.6557873000663443e-05,1.5290011335881145e-05,0.08292091071293073
H3,100,1.0,8.772001872658766,8.0,654000.0,851900.0,3.3204358471513924e-06,2.4409455824390606e-06,0.3603071985871642
H4,150,1.0,8.772001872658766,8.0,1856350.0,2673800.0,1.169803670663943e-06,7.777102033360145e-07,0.5041639747633888
H5,200,1.0,8.772001872658766,8.0,3953600.0,6079800.0,5.492627084270059e-07,3.4202466227175825e-07,0.6059155055625349
H1,20,1.298,8.772001872658766,8.0,15464.3,12897.08,0.00014042439968424118,0.00016123351500338338,-0.12906197150577248
H2,50,1.298,8.772001872658766,8.0,131634.25,136789.7,1.6496960662114994e-05,1.5201740640412514e-05,0.08520208654653993
H3,100,1.298,8.772001872658766,8.0,655743.2999999999,855028.9999999999,3.311608435857463e-06,2.432012881059983e-06,0.36167388818027635
H4,150,1.298,8.772001872658766,8.0,1860082.45,2680728.4999999995,1.1674563372376374e-06,7.757001657123562e-07,0.5050355650826965
H5,200,1.298,8.772001872658766,8.0,3960066.6,6092018.000000001,5.483657886049216e-07,3.413387061035991e-07,0.6065151088915421
H1,20,1.7,8.772001872658766,8.0,15605.0,13082.0,0.00013915828542371105,0.00015895440618252834,-0.12453961632296795
H2,50,1.7,8.772001872658766,8.0,132287.5,137855.0,1.641549688396115e-05,1.5084266379020245e-05,0.08825291674724256
H3,100,1.7,8.772001872658766,8.0,658095.0,859250.0,3.2997744156041464e-06,2.42006580352614e-06,0.36350607111436095
H4,150,1.7,8.772001872658766,8.0,1865117.5,2690075.0,1.1643046853814896e-06,7.73005043234793e-07,0.5062058075445739
H5,200,1.7,8.772001872658766,8.0,3968790.0,6108500.0,5.471604806595992e-07,3.404177034754581e-07,0.6073208739540361
H1,20,3.23511,8.772001872658766,8.0,16142.2885,13788.1506,0.00013452646717576698,0.00015081366616925663,-0.10799551132992613
H2,50,3.23511,8.772001872658766,8.0,134782.05375,141923.0415,1.6111677954284107e-05,1.4651895278610105e-05,0.0996309793317387
H3,100,3.23511,8.772001872658766,8.0,667075.3935,875368.655,3.2553517416423944e-06,2.3755037718135287e-06,0.37038373934349256
H4,150,3.23511,8.772001872658766,8.0,1884344.7527500002,2725766.3075,1.152424491785722e-06,7.628832801837087e-07,0.510617052071463
H5,200,3.23511,8.772001872658766,8.0,4002101.8869999996,6171439.51,5.426061368129809e-07,3.3694594888443393e-07,0.6103655159216188
