field,n,kappa,mu0,mu1,a0,a1,a2,delta_C_over_logp,eta_P5,eta_M6,eta_P5_advantage_pct,favored_method
H1,20,1.0,62,2.05,19.080183146061707,-236.22121828445165,-409.7273166315508,288.9905409411492,0.00015747853073414184,0.00016498705978158884,-4.550980578347685,M6
H2,50,1.0,180,2.6,47.70045786515426,-1476.3826142778225,-3288.950674440548,1458.5369441648809,1.7589834963184775e-05,1.805299213328015e-05,-2.5655424135567984,M6
H3,100,1.0,315,2.02,95.40091573030853,-5905.53045711129,-18452.33184640424,-330.2149147218588,3.3315948358466433e-06,3.3279336352675613e-06,0.11001423046068659,P5
H4,150,1.0,480,2.1066666666666665,143.1013735954628,-13287.443528500406,-53600.74830586149,-12904.303346746863,1.1409366067522916e-06,1.124382334553704e-06,1.47229920729397,P5
H5,200,1.0,631,2.09,190.80183146061705,-23622.12182844516,-116844.8048427829,-45819.08381258394,5.253343232266743e-07,5.129865635673543e-07,2.407033738554998,P5
