pair,system,cases,cpu_median,cpu_min,cpu_max,work_min,work_max,clear
P5/M6,H1,9,2.05930807248764,0.47923322683705,6.91850594227503,6.7768595041322195,8.88501742160279,0
P5/M6,H2,9,0.17182130584191999,-1.33024869866975,4.52111838191553,5.9122401847575095,7.373493975903609,0
P5/M6,H3,9,-3.52140856342536,-5.71095571095572,0.0,3.9656080014037496,4.980600920328429,0
P5/M6,H4,9,-4.18959701757498,-5.73904512753434,-0.15742522301905001,3.08006364264057,3.8384830167837696,0
P5/M6,H5,9,-3.4417685118619703,-4.13563480241829,-2.2029822029821897,2.4426637192594702,3.04845468095278,0
P7/M8,H1,9,27.717842323651443,24.27652733118972,34.432717678100275,15.714285714285719,17.93721973094171,4
P7/M8,H2,9,16.5837479270315,13.00546448087431,17.69911504424779,-5.06896551724137,-5.06896551724137,1
P7/M8,H3,9,-0.70003500175008,-2.51017639077341,1.3956734124215,-23.53407290015847,-23.53407290015847,0
P7/M8,H4,9,-20.618556701030922,-21.45507553670819,-19.06641262928687,-30.59035618034816,-30.59035618034816,1
P7/M8,H5,9,-34.49499035409795,-35.68330924052041,-34.14028929371179,-34.90493071221399,-34.90493071221399,9
