N,p_q_Nplus1,p_q_Nplus2,relative_order_gain,Theta_N
2,10.898979485566356,11.65685424949238,0.06953630520450904,35.53235007141781
3,19.165151389911678,20.807764064044157,0.08570830674455987,35.91147441992218
4,29.317821063276355,31.874507866387546,0.08720589424408853,40.40371892671318
5,41.420577856662135,44.91093483101497,0.08426625496224083,46.02740318287576
6,55.49545416973504,59.93325909419152,0.07996699893442227,52.20688724527581
7,71.55277766926235,76.9480168539289,0.07540223259542644,58.74474640729832
8,89.59820624195552,95.95831523312718,0.07098478036487132,65.55013613709114
