system,n,rank_J_min,rank_offdiag_min,rank_JminusA_min,density_J_min,cond2_min,cond2_max,offdiag_rank3_residual_min,offdiag_rank3_residual_max,jacobian_relerr_max
H1,20,20,20,20,1.0,1.4041073549971488,1.4109547209309528,0.7530820766168813,0.7543409842248874,1.672532819684821e-16
H2,50,50,50,50,1.0,1.482641710921647,1.4837740618843176,0.8924515552518111,0.8925428801169253,1.3969558053866478e-16
H3,100,100,100,100,1.0,1.4879550965578845,1.4884585339291383,0.9442891976703431,0.9442972671553874,1.369853674282313e-16
H4,150,150,150,150,1.0,1.4949768135455577,1.496579306528066,0.9634210913065955,0.9634291914656025,1.4067089325939558e-16
H5,200,200,200,200,1.0,1.4931128562604916,1.493645763673926,0.971429362136975,0.971445514985144,1.309547212913717e-16
