system,kappa,N_P_star,m_S_star,etaP_star,etaS_star,relative_eta_advantage_P,P_band_0p5pct,S_band_0p5pct
H1,1.0,3,3,0.00017246171530501764,0.00016503504299046317,0.04500057793776335,3,3
H1,1.298,3,3,0.0001708991532740596,0.00016358420687000893,0.04471670306084885,3,3
H1,1.7,3,3,0.00016883558734944433,0.00016166698088861697,0.044341809449427894,3,3
H1,3.23511,3,3,0.00016139377582578875,0.00015474146568768903,0.04298983539115442,3,3
H5,1.0,9,10,5.555158190875064e-07,5.43469306196086e-07,0.022165948939669944,"8,9,10,11","9,10,11"
H5,1.298,9,10,5.546635318527709e-07,5.426593144203483e-07,0.02212109349904945,"8,9,10,11","9,10,11"
H5,1.7,9,10,5.535179370329334e-07,5.41570458683319e-07,0.02206080143045752,"8,9,10,11","9,10,11"
H5,3.23511,9,10,5.491864730471954e-07,5.374523623121824e-07,0.021832838699473722,"8,9,10,11","9,10,11,12"
