kappa,system,n,N,q,p_reference,cost,eta
1.0,H2,50,6,6,48.75386567126981,372650.0,1.0430120730232196e-05
1.0,H2,50,6,7,55.49545416973504,407650.0,9.852327022068487e-06
1.0,H2,50,6,8,59.93325909419152,442650.0,9.24710627961885e-06
1.0,H3,100,2,2,8.531128874149275,619700.0,3.4592894858520664e-06
1.0,H3,100,2,3,10.898979485566356,679700.0,3.514299190340722e-06
1.0,H3,100,2,4,11.65685424949238,739700.0,3.3201221503299056e-06
1.0,H3,100,3,2,11.65685424949238,722700.0,3.39822105244089e-06
1.0,H3,100,3,3,15.615773105863909,802700.0,3.423796561568986e-06
1.0,H3,100,3,4,19.165151389911678,882700.0,3.3455235052592065e-06
1.0,H3,100,3,5,20.807764064044157,962700.0,3.1529304969027842e-06
1.0,H3,100,4,2,14.72841614740048,825700.0,3.2575738150157645e-06
1.0,H3,100,4,3,19.69535971483266,925700.0,3.2195992875962592e-06
1.0,H3,100,4,4,24.67579566188592,1025700.0,3.1254975435983234e-06
1.0,H3,100,4,5,29.317821063276355,1125700.0,3.0009732242544826e-06
1.0,H3,100,4,6,31.874507866387546,1225700.0,2.824350627293399e-06
1.0,H3,100,5,2,17.774964387392124,928700.0,3.098730453499574e-06
1.0,H3,100,5,3,23.747340124470732,1048700.0,3.020378115237572e-06
1.0,H3,100,5,4,29.730919862656236,1168700.0,2.902530655501737e-06
1.0,H3,100,5,5,35.72004514666935,1288700.0,2.7746659578738394e-06
1.0,H3,100,5,6,41.420577856662135,1408700.0,2.643414358643306e-06
1.0,H3,100,5,7,44.91093483101497,1528700.0,2.48883450156137e-06
1.0,H3,100,6,2,20.80776406404415,1031700.0,2.942062798651071e-06
1.0,H3,100,6,3,27.78404875209022,1171700.0,2.8372980030062583e-06
1.0,H3,100,6,4,34.76991603917054,1311700.0,2.7054604949818258e-06
1.0,H3,100,6,5,41.760539492026695,1451700.0,2.5707459270932745e-06
1.0,H3,100,6,6,48.75386567126981,1591700.0,2.4419077025325297e-06
1.0,H3,100,6,7,55.49545416973504,1731700.0,2.3192822720715015e-06
1.0,H3,100,6,8,59.93325909419152,1871700.0,2.1869058047087058e-06
1.0,H4,150,2,2,8.531128874149275,1777750.0,1.2058622946885251e-06
1.0,H4,150,2,3,10.898979485566356,1912750.0,1.2488140947194294e-06
1.0,H4,150,2,4,11.65685424949238,2047750.0,1.1993135659133347e-06
1.0,H4,150,3,2,11.65685424949238,2011750.0,1.2207751234492513e-06
1.0,H4,150,3,3,15.615773105863909,2191750.0,1.2539210676269762e-06
1.0,H4,150,3,4,19.165151389911678,2371750.0,1.2451116677947935e-06
1.0,H4,150,3,5,20.807764064044157,2551750.0,1.1895076670396043e-06
1.0,H4,150,4,2,14.72841614740048,2245750.0,1.1977195587480872e-06
