pair,system,cases,cpu_median_pct,cpu_min_pct,cpu_max_pct,work_min_pct,work_max_pct,resolved
P5/M6,H1,9,2.0593080724876422,0.4792332268370503,6.918505942275033,6.776859504132227,8.885017421602793,0
P5/M6,H2,9,0.1718213058419238,-1.330248698669756,4.521118381915534,5.912240184757511,7.373493975903611,0
P5/M6,H3,9,-3.5214085634253656,-5.710955710955723,0.0,3.965608001403753,4.980600920328437,0
P5/M6,H4,9,-4.189597017574986,-5.739045127534348,-0.1574252230190587,3.0800636426405736,3.838483016783778,0
P5/M6,H5,9,-3.4417685118619756,-4.135634802418298,-2.2029822029821955,2.4426637192594747,3.0484546809527835,0
P7/M8,H1,9,27.717842323651443,24.276527331189723,34.432717678100275,15.714285714285726,17.937219730941713,4
P7/M8,H2,9,16.5837479270315,13.005464480874318,17.699115044247794,-5.0689655172413755,-5.0689655172413755,1
P7/M8,H3,9,-0.7000350017500878,-2.510176390773411,1.3956734124215053,-23.534072900158478,-23.534072900158478,0
P7/M8,H4,9,-20.618556701030922,-21.45507553670819,-19.066412629286877,-30.590356180348167,-30.590356180348167,1
P7/M8,H5,9,-34.49499035409795,-35.68330924052041,-34.14028929371179,-34.90493071221399,-34.90493071221399,9
