pair,cost_A,cost_B,eta_A,eta_B,advantage_A_pct
P5/M6,1064.0,1040.0,0.0017879141459289788,0.0017228456434885144,3.776803957243091
P7/M8,1368.0,1096.0,0.001587401347980271,0.0018973006767151787,-16.333696210525815
