pair,tol,cycles_A,cycles_B,cpu_A_ms,cpu_B_ms,cpu_rel_A_pct,iqr_A_ms,iqr_B_ms,clear_2iqr,work_A_k1,work_B_k1,work_rel_A_pct,residual_A,residual_B,error_A,error_B
P5/M6,1e-08,2,2,0.18030000000000002,0.16920000000000002,6.560283687943258,0.00825000000000001,0.008399999999999987,0,2152.0,2168.0,-0.7380073800738018,9.396198204375556e-16,1.3728152666494016e-15,0.0,4.440892098500626e-16
P7/M8,1e-08,1,2,0.11510000000000001,0.1672,-31.16028708133971,0.003299999999999999,0.011300000000000004,1,1392.0,2280.0,-38.94736842105263,1.9389137261985332e-09,9.396198204375556e-16,4.1487351646270196e-10,0.0
P5/M6,1e-10,2,2,0.1795,0.16870000000000002,6.401896858328393,0.004249999999999995,0.0028999999999999894,0,2152.0,2168.0,-0.7380073800738018,9.396198204375556e-16,1.3728152666494016e-15,0.0,4.440892098500626e-16
P7/M8,1e-10,2,2,0.22960000000000003,0.16710000000000003,37.40275284260921,0.011349999999999978,0.009250000000000008,1,2760.0,2280.0,21.052631578947366,9.396198204375556e-16,9.396198204375556e-16,0.0,0.0
P5/M6,1e-12,2,2,0.1799,0.16970000000000002,6.010606953447262,0.004750000000000007,0.012450000000000004,0,2152.0,2168.0,-0.7380073800738018,9.396198204375556e-16,1.3728152666494016e-15,0.0,4.440892098500626e-16
P7/M8,1e-12,2,2,0.22850000000000004,0.1664,37.31971153846154,0.008600000000000019,0.008799999999999997,1,2760.0,2280.0,21.052631578947366,9.396198204375556e-16,9.396198204375556e-16,0.0,0.0
