system,kappa,N_star,m_star,eta_P,eta_S,advantage_P_pct,P_band,S_band
H1,1.0,3,3,0.00017246171530501764,0.00016503504299046317,4.500057793776335,[3],[3]
H1,4.45444,3,3,0.00015593445619463278,0.00014964947370624309,4.199802600526947,[3],[3]
H5,1.0,9,10,5.555158190875064e-07,5.43469306196086e-07,2.2165948939669944,"[8, 9, 10, 11]","[9, 10, 11]"
H5,4.45444,9,10,5.457940223706833e-07,5.34225740191055e-07,2.165429575798994,"[8, 9, 10, 11]","[9, 10, 11, 12]"
