N,q,p_reference,COC_observed
2,3,10.898979485566356,10.87757519
2,4,11.65685424949238,11.6705300422
3,4,19.165151389911678,19.1581719843
3,5,20.807764064044157,20.8172852613
4,5,29.317821063276355,29.314878326
4,6,31.874507866387546,31.8806760422
