system,n,adv_eta_Phat2_k1_pct,Pht2_lower_cpu_medians,P10_lower_cpu_medians,cpu_rel_median_pct,cpu_rel_min_pct,cpu_rel_max_pct,work_rel_median_pct,work_rel_min_pct,work_rel_max_pct,clear_differences,clear_Phat2,clear_P10,cycles_pairs
H3,100,4.6138775138100385,2,7,1.3127853881278462,-2.2033898305084842,3.615143751779093,-12.350000000000005,-12.350000000000005,-12.350000000000005,0,0,0,1/1
H5,200,2.9517971763443063,6,3,-0.7600873291824906,-4.0691759918616395,1.4127861089187066,-8.672659968270757,-8.672659968270757,-8.672659968270757,0,0,0,1/1
