N,rho,sigma,full_order,relative_order_gain_pct,Xi
2,3.414213562373095,10.898979485566356,11.65685424949238,6.953630520450904,35.53235007141781
3,4.561552812808831,19.165151389911678,20.807764064044157,8.570830674455987,35.91147441992218
4,5.645751311064591,29.317821063276355,31.874507866387546,8.720589424408853,40.40371892671318
5,6.701562118716424,41.420577856662135,44.91093483101497,8.426625496224084,46.02740318287576
6,7.741657386773941,55.49545416973504,59.93325909419152,7.996699893442227,52.20688724527581
